concept,symbol
Chemical_MESH_D014867,Water
Chemical_MESH_D009243,Nadide
Chemical_MESH_D010100,Oxygen
Chemical_MESH_D002244,Carbon dioxide
Chemical_MESH_D005182,Flavin adenine dinucleotide
Chemical_MESH_C059900,Glutamic acid
Chemical_MESH_D006861,Hydrogen peroxide
Chemical_MESH_C118417,Glucose
Chemical_MESH_D019342,Acetic acid
Chemical_MESH_D018684,Glycine
Chemical_MESH_C036162,Alanine
Chemical_MESH_C047981,Aspartic acid
Chemical_MESH_C080120,Glutathione
Chemical_MESH_C054407,Glutamine
Chemical_MESH_C047902,Serine
Chemical_MESH_C054526,Formaldehyde
Chemical_MESH_C006790,Ascorbic acid
Chemical_MESH_D008717,Methionine
Chemical_MESH_C019133,Tryptophan
Chemical_MESH_C064147,Phenylalanine
Chemical_MESH_C513329,Tyrosine
Chemical_MESH_C530477,Urea
Chemical_MESH_D013455,Sulfur
Chemical_MESH_D013395,Sucrose
Chemical_MESH_C480314,L-Cysteine
Chemical_MESH_D014499,Uracil
Chemical_MESH_D005990,Glycerin
Chemical_MESH_D001710,Biotin
Chemical_MESH_D004743,Leucine
Chemical_MESH_C462699,Oxiglutatione
Chemical_MESH_C115717,Histidine
Chemical_MESH_D019800,Phenol
Chemical_MESH_D000227,Adenine
Chemical_MESH_C428643,Proline
Chemical_MESH_D000241,Niacinamide
Chemical_MESH_D019343,Citric acid
Chemical_MESH_C556030,Benzoic acid
Chemical_MESH_C521924,Valine
Chemical_MESH_D002784,Cholesterol
Chemical_MESH_C061951,Threonine
Chemical_MESH_C000913,Cobamamide
Chemical_MESH_D007531,Isoflurophate
Chemical_MESH_D008320,Maltose
Chemical_MESH_D000241,Adenosine
Chemical_MESH_D007785,Anhydrous lactose
Chemical_MESH_D013657,Taurine
Chemical_MESH_C013091,Thioctic acid amide
Chemical_MESH_D009525,Niacin
Chemical_MESH_C009175,Riboflavin
Chemical_MESH_D000735,Androstenedione
Chemical_MESH_D004492,Edetic acid
Chemical_MESH_D007288,Inosine
Chemical_MESH_D009963,Orotic acid
Chemical_MESH_D014361,Trypsin
Chemical_MESH_D003566,Citicoline
Chemical_MESH_D005680,gamma-Aminobutyric acid
Chemical_MESH_D007980,Levodopa
Chemical_MESH_D003911,Dextran 1
Chemical_MESH_D014993,Xylitol
Chemical_MESH_D008353,Mannitol
Chemical_MESH_D014031,Tobramycin
Chemical_MESH_D008012,l-Menthol
Chemical_MESH_C532883,Isoleucine
Chemical_MESH_D011374,Progesterone
Chemical_MESH_D004970,Estrone
Chemical_MESH_D000431,Alcohol
Chemical_MESH_D005493,Folic acid
Chemical_MESH_C080493,Fibronectin
Chemical_MESH_C109564,Cytochrome c
Chemical_MESH_C031927,Hydroquinone
Chemical_MESH_D020030,Nitric oxide
Chemical_MESH_D013739,Testosterone
Chemical_MESH_C017574,Noradrenaline
Chemical_MESH_D019905,Benzyl alcohol
Chemical_MESH_D019946,Propylene glycol
Chemical_MESH_D015232,Dinoprostone
Chemical_MESH_C038142,Chondroitin sulfate A
Chemical_MESH_D015237,Dinoprost
Chemical_MESH_C010627,Pyridoxamine phosphate
Chemical_MESH_D009584,Nitrogen
Chemical_MESH_C049580,Dextrin
Chemical_MESH_C571886,Insulin
Chemical_MESH_D008063,Thioctic acid
Chemical_MESH_D006854,Hydrocortisone
Chemical_MESH_D010121,Oxytocin
Chemical_MESH_D013917,Thrombin
Chemical_MESH_C060843,Vanillin
Chemical_MESH_C109691,Microcrystalline cellulose
Chemical_MESH_D014212,Tretinoin
Chemical_MESH_D004837,Epinephrine
Chemical_MESH_C053620,Sorbitol solution
Chemical_MESH_D020156,Salicylic acid
Chemical_MESH_D002164,Camphor
Chemical_MESH_C560743,Menatetrenone
Chemical_MESH_D065092,Vasopressin
Chemical_MESH_D009609,Nitrous oxide
Chemical_MESH_C474564,Tartaric acid
Chemical_MESH_C026016,Chloramphenicol
Chemical_MESH_D004958,Estradiol
Chemical_MESH_D011464,Epoprostenol
Chemical_MESH_D016559,Tacrolimus
Chemical_MESH_D011206,Iodine
Chemical_MESH_D001241,Aspirin
Chemical_MESH_D003042,Cocaine
Chemical_MESH_D019344,Lactic acid
Chemical_MESH_D010042,G-Strophanthin
Chemical_MESH_D001285,Atropine
Chemical_MESH_D005632,Fructose
Chemical_MESH_C060085,Gelatin
Chemical_MESH_D005934,Glucagon
Chemical_MESH_D006139,Guaiacol
Chemical_MESH_D009288,Naproxen
Chemical_MESH_C031183,Stearic acid
Chemical_MESH_D013467,Sulindac
Chemical_MESH_D000481,Allantoin
Chemical_MESH_D002112,Calcifediol
Chemical_MESH_D003484,Cyanamide
Chemical_MESH_D004809,Ephedrine
Chemical_MESH_D005047,Etoposide
Chemical_MESH_D007052,Ibuprofen
