concept,symbol
Gene_1,A1BG
Gene_2,A2M
Gene_9,NAT1
Gene_10,NAT2
Gene_12,SERPINA3
Gene_13,AADAC
Gene_14,AAMP
Gene_15,AANAT
Gene_16,AARS1
Gene_18,ABAT
Gene_19,ABCA1
Gene_20,ABCA2
Gene_21,ABCA3
Gene_22,ABCB7
Gene_23,ABCF1
Gene_24,ABCA4
Gene_25,ABL1
Gene_26,AOC1
Gene_27,ABL2
Gene_28,ABO
Gene_29,ABR
Gene_30,ACAA1
Gene_31,ACACA
Gene_32,ACACB
Gene_33,ACADL
Gene_34,ACADM
Gene_35,ACADS
Gene_36,ACADSB
Gene_37,ACADVL
Gene_38,ACAT1
Gene_39,ACAT2
Gene_40,ASIC2
Gene_41,ASIC1
Gene_43,ACHE
Gene_47,ACLY
Gene_48,ACO1
Gene_49,ACR
Gene_50,ACO2
Gene_51,ACOX1
Gene_52,ACP1
Gene_53,ACP2
Gene_54,ACP5
Gene_55,ACP3
Gene_56,ACRV1
Gene_58,ACTA1
Gene_59,ACTA2
Gene_60,ACTB
Gene_70,ACTC1
Gene_71,ACTG1
Gene_72,ACTG2
Gene_81,ACTN4
Gene_86,ACTL6A
Gene_87,ACTN1
Gene_88,ACTN2
Gene_89,ACTN3
Gene_90,ACVR1
Gene_91,ACVR1B
Gene_92,ACVR2A
Gene_93,ACVR2B
Gene_94,ACVRL1
Gene_95,ACY1
Gene_97,ACYP1
Gene_98,ACYP2
Gene_100,ADA
Gene_101,ADAM8
Gene_102,ADAM10
Gene_103,ADAR
Gene_104,ADARB1
Gene_105,ADARB2
Gene_107,ADCY1
Gene_108,ADCY2
Gene_109,ADCY3
Gene_111,ADCY5
Gene_112,ADCY6
Gene_113,ADCY7
Gene_114,ADCY8
Gene_115,ADCY9
Gene_116,ADCYAP1
Gene_117,ADCYAP1R1
Gene_118,ADD1
Gene_119,ADD2
Gene_120,ADD3
Gene_123,PLIN2
Gene_124,ADH1A
Gene_125,ADH1B
Gene_126,ADH1C
Gene_127,ADH4
Gene_128,ADH5
Gene_130,ADH6
Gene_131,ADH7
Gene_132,ADK
Gene_133,ADM
Gene_134,ADORA1
Gene_135,ADORA2A
Gene_136,ADORA2B
Gene_140,ADORA3
Gene_141,ADPRH
Gene_142,PARP1
Gene_143,PARP4
Gene_146,ADRA1D
Gene_147,ADRA1B
Gene_148,ADRA1A
Gene_150,ADRA2A
Gene_151,ADRA2B
Gene_152,ADRA2C
Gene_153,ADRB1
Gene_154,ADRB2
Gene_155,ADRB3
Gene_156,GRK2
Gene_157,GRK3
Gene_158,ADSL
Gene_159,ADSS2
Gene_160,AP2A1
Gene_161,AP2A2
Gene_162,AP1B1
Gene_163,AP2B1
Gene_164,AP1G1
Gene_165,AEBP1
Gene_166,TLE5
Gene_167,CRISP1
Gene_173,AFM
Gene_174,AFP
Gene_175,AGA
Gene_176,ACAN
Gene_177,AGER
Gene_178,AGL
Gene_181,AGRP
Gene_182,JAG1
Gene_183,AGT
Gene_185,AGTR1
Gene_186,AGTR2
Gene_187,APLNR
Gene_189,AGXT
Gene_190,NR0B1
Gene_191,AHCY
Gene_196,AHR
Gene_197,AHSG
Gene_199,AIF1
Gene_202,CRYBG1
Gene_203,AK1
Gene_204,AK2
Gene_205,AK4
Gene_207,AKT1
Gene_208,AKT2
Gene_210,ALAD
Gene_211,ALAS1
Gene_212,ALAS2
Gene_213,ALB
Gene_214,ALCAM
Gene_215,ABCD1
Gene_216,ALDH1A1
Gene_217,ALDH2
Gene_218,ALDH3A1
Gene_219,ALDH1B1
Gene_220,ALDH1A3
Gene_221,ALDH3B1
Gene_222,ALDH3B2
Gene_223,ALDH9A1
Gene_224,ALDH3A2
Gene_225,ABCD2
Gene_226,ALDOA
Gene_229,ALDOB
Gene_230,ALDOC
Gene_231,AKR1B1
Gene_238,ALK
Gene_239,ALOX12
Gene_240,ALOX5
Gene_241,ALOX5AP
Gene_242,ALOX12B
Gene_246,ALOX15
Gene_247,ALOX15B
Gene_248,ALPI
Gene_249,ALPL
Gene_250,ALPP
Gene_251,ALPG
Gene_257,ALX3
Gene_258,AMBN
Gene_259,AMBP
Gene_262,AMD1
Gene_265,AMELX
Gene_266,AMELY
Gene_267,AMFR
Gene_268,AMH
Gene_269,AMHR2
Gene_270,AMPD1
Gene_271,AMPD2
Gene_272,AMPD3
Gene_273,AMPH
Gene_274,BIN1
Gene_275,AMT
Gene_276,AMY1A
Gene_277,AMY1B
Gene_278,AMY1C
Gene_279,AMY2A
Gene_280,AMY2B
Gene_283,ANG
Gene_284,ANGPT1
Gene_285,ANGPT2
Gene_286,ANK1
Gene_287,ANK2
Gene_288,ANK3
Gene_290,ANPEP
Gene_291,SLC25A4
